subj_idx,cond,trial,is_surprise,is_self,response,feedback,rt,split_by,q_init
1,control_stranger,1,control,stranger,0,0,3.644,2,0.5
1,control_stranger,2,control,stranger,1,1,0.853,2,0.5
1,control_stranger,3,control,stranger,1,1,0.388,2,0.5
1,control_stranger,4,control,stranger,1,1,1.098,2,0.5
1,control_stranger,5,control,stranger,1,0,0.478,2,0.5
1,control_stranger,6,control,stranger,0,0,0.558,2,0.5
1,control_stranger,7,control,stranger,0,0,0.48,2,0.5
1,control_stranger,8,control,stranger,0,0,0.576,2,0.5
1,control_stranger,9,control,stranger,1,0,1.073,2,0.5
1,control_stranger,10,control,stranger,0,0,1.454,2,0.5
1,control_stranger,11,control,stranger,0,0,0.646,2,0.5
1,control_stranger,12,control,stranger,0,0,0.394,2,0.5
1,control_stranger,13,control,stranger,0,0,0.565,2,0.5
1,control_stranger,14,control,stranger,1,1,0.786,2,0.5
1,control_stranger,15,control,stranger,1,0,0.394,2,0.5
1,control_stranger,16,control,stranger,0,0,0.876,2,0.5
1,control_stranger,17,control,stranger,0,0,1.186,2,0.5
1,control_stranger,18,control,stranger,0,0,0.817,2,0.5
1,control_stranger,19,control,stranger,1,1,0.425,2,0.5
1,control_stranger,20,control,stranger,0,0,1.357,2,0.5
1,control_stranger,21,control,stranger,1,1,0.599,2,0.5
1,control_stranger,22,control,stranger,1,1,0.608,2,0.5
1,control_stranger,23,control,stranger,1,0,0.749,2,0.5
1,control_stranger,24,control,stranger,0,0,0.83,2,0.5
1,control_stranger,25,control,stranger,0,1,1.212,2,0.5
1,control_stranger,26,control,stranger,0,1,0.616,2,0.5
1,control_stranger,27,control,stranger,0,1,0.981,2,0.5
1,control_stranger,28,control,stranger,0,0,0.504,2,0.5
1,control_stranger,29,control,stranger,0,1,0.752,2,0.5
1,control_stranger,30,control,stranger,0,1,0.967,2,0.5
1,control_stranger,31,control,stranger,1,1,0.783,2,0.5
1,control_stranger,32,control,stranger,1,0,0.645,2,0.5
1,control_stranger,33,control,stranger,0,0,0.814,2,0.5
1,control_stranger,34,control,stranger,1,1,0.353,2,0.5
1,control_stranger,35,control,stranger,1,0,0.5,2,0.5
1,control_stranger,36,control,stranger,0,1,0.97,2,0.5
1,control_stranger,37,control,stranger,0,0,0.913,2,0.5
1,control_stranger,38,control,stranger,0,1,1.154,2,0.5
1,control_stranger,39,control,stranger,0,1,0.865,2,0.5
1,control_stranger,40,control,stranger,0,1,1.379,2,0.5
1,control_stranger,41,control,stranger,1,0,0.502,2,0.5
1,control_stranger,42,control,stranger,1,0,0.863,2,0.5
1,control_stranger,43,control,stranger,0,1,0.66,2,0.5
1,control_stranger,44,control,stranger,0,1,1.033,2,0.5
1,control_stranger,45,control,stranger,0,1,0.738,2,0.5
1,control_stranger,46,control,stranger,0,1,1.032,2,0.5
1,control_stranger,47,control,stranger,0,1,0.531,2,0.5
1,control_stranger,48,control,stranger,0,1,1.163,2,0.5
1,control_stranger,49,control,stranger,0,1,1.827,2,0.5
1,control_stranger,50,control,stranger,0,1,0.517,2,0.5
1,surprise_stranger,1,surprise,stranger,0,0,0.864,4,0.5
1,surprise_stranger,2,surprise,stranger,0,0,0.59,4,0.5
1,surprise_stranger,3,surprise,stranger,1,1,0.747,4,0.5
1,surprise_stranger,4,surprise,stranger,1,1,0.767,4,0.5
1,surprise_stranger,5,surprise,stranger,1,0,1.305,4,0.5
1,surprise_stranger,6,surprise,stranger,0,1,1.492,4,0.5
1,surprise_stranger,7,surprise,stranger,1,0,0.541,4,0.5
1,surprise_stranger,8,surprise,stranger,0,1,0.855,4,0.5
1,surprise_stranger,9,surprise,stranger,0,0,1.451,4,0.5
1,surprise_stranger,10,surprise,stranger,0,0,0.651,4,0.5
1,surprise_stranger,11,surprise,stranger,0,1,0.712,4,0.5
1,surprise_stranger,12,surprise,stranger,0,0,0.593,4,0.5
1,surprise_stranger,13,surprise,stranger,0,0,2.241,4,0.5
1,surprise_stranger,14,surprise,stranger,0,0,0.736,4,0.5
1,surprise_stranger,15,surprise,stranger,1,1,0.967,4,0.5
1,surprise_stranger,16,surprise,stranger,0,0,0.891,4,0.5
1,surprise_stranger,17,surprise,stranger,1,1,0.867,4,0.5
1,surprise_stranger,18,surprise,stranger,1,1,0.685,4,0.5
1,surprise_stranger,19,surprise,stranger,1,1,0.757,4,0.5
1,surprise_stranger,20,surprise,stranger,1,1,0.892,4,0.5
1,surprise_stranger,21,surprise,stranger,0,0,0.609,4,0.5
1,surprise_stranger,22,surprise,stranger,0,0,0.823,4,0.5
1,surprise_stranger,23,surprise,stranger,1,1,0.414,4,0.5
1,surprise_stranger,24,surprise,stranger,1,1,0.853,4,0.5
1,surprise_stranger,25,surprise,stranger,1,1,0.693,4,0.5
1,surprise_stranger,26,surprise,stranger,1,1,0.529,4,0.5
1,surprise_stranger,27,surprise,stranger,1,0,0.894,4,0.5
1,surprise_stranger,28,surprise,stranger,0,1,0.77,4,0.5
1,surprise_stranger,29,surprise,stranger,0,1,0.789,4,0.5
1,surprise_stranger,30,surprise,stranger,0,1,0.802,4,0.5
1,surprise_stranger,31,surprise,stranger,1,0,0.71,4,0.5
1,surprise_stranger,32,surprise,stranger,0,1,1.129,4,0.5
1,surprise_stranger,33,surprise,stranger,0,1,0.443,4,0.5
1,surprise_stranger,34,surprise,stranger,0,1,0.794,4,0.5
1,surprise_stranger,35,surprise,stranger,0,1,0.688,4,0.5
1,surprise_stranger,36,surprise,stranger,0,1,0.832,4,0.5
1,surprise_stranger,37,surprise,stranger,0,1,1.143,4,0.5
1,surprise_stranger,38,surprise,stranger,0,0,0.817,4,0.5
1,surprise_stranger,39,surprise,stranger,0,1,0.752,4,0.5
1,surprise_stranger,40,surprise,stranger,0,0,0.968,4,0.5
1,surprise_stranger,41,surprise,stranger,0,1,0.733,4,0.5
1,surprise_stranger,42,surprise,stranger,0,0,0.833,4,0.5
1,surprise_stranger,43,surprise,stranger,0,1,1.833,4,0.5
1,surprise_stranger,44,surprise,stranger,0,1,0.942,4,0.5
1,surprise_stranger,45,surprise,stranger,0,0,0.924,4,0.5
1,surprise_stranger,46,surprise,stranger,0,1,0.438,4,0.5
1,surprise_stranger,47,surprise,stranger,0,1,0.531,4,0.5
1,surprise_stranger,48,surprise,stranger,0,1,0.817,4,0.5
1,surprise_stranger,49,surprise,stranger,0,0,0.75,4,0.5
1,surprise_stranger,50,surprise,stranger,1,0,0.867,4,0.5
2,control_self,1,control,self,0,0,3.612,1,0.5
2,control_self,2,control,self,0,0,2.604,1,0.5
2,control_self,3,control,self,1,1,7.355,1,0.5
2,control_self,4,control,self,0,0,2.654,1,0.5
2,control_self,5,control,self,1,0,1.466,1,0.5
2,control_self,6,control,self,0,0,1.019,1,0.5
2,control_self,7,control,self,1,1,0.839,1,0.5
2,control_self,8,control,self,1,1,1.086,1,0.5
2,control_self,9,control,self,1,1,1.005,1,0.5
2,control_self,10,control,self,1,1,1.954,1,0.5
2,control_self,11,control,self,1,0,1.043,1,0.5
2,control_self,12,control,self,0,0,1.007,1,0.5
2,control_self,13,control,self,1,1,1.767,1,0.5
2,control_self,14,control,self,0,1,0.948,1,0.5
2,control_self,15,control,self,0,0,0.945,1,0.5
2,control_self,16,control,self,0,0,1.24,1,0.5
2,control_self,17,control,self,1,0,1.118,1,0.5
2,control_self,18,control,self,0,0,0.953,1,0.5
2,control_self,19,control,self,1,0,1.315,1,0.5
2,control_self,20,control,self,1,1,1.648,1,0.5
2,control_self,21,control,self,0,0,1.262,1,0.5
2,control_self,22,control,self,0,0,1.795,1,0.5
2,control_self,23,control,self,1,1,1.252,1,0.5
2,control_self,24,control,self,1,1,1.177,1,0.5
2,control_self,25,control,self,1,1,1.276,1,0.5
2,control_self,26,control,self,1,0,0.85,1,0.5
2,control_self,27,control,self,0,1,0.968,1,0.5
2,control_self,28,control,self,0,1,0.654,1,0.5
2,control_self,29,control,self,0,1,0.733,1,0.5
2,control_self,30,control,self,1,0,1.994,1,0.5
2,control_self,31,control,self,0,1,1.139,1,0.5
2,control_self,32,control,self,0,1,0.897,1,0.5
2,control_self,33,control,self,0,0,0.586,1,0.5
2,control_self,34,control,self,1,0,1.487,1,0.5
2,control_self,35,control,self,1,0,0.702,1,0.5
2,control_self,36,control,self,1,0,0.902,1,0.5
2,control_self,37,control,self,0,1,0.708,1,0.5
2,control_self,38,control,self,0,0,3.591,1,0.5
2,control_self,39,control,self,1,1,0.983,1,0.5
2,control_self,40,control,self,0,1,2.743,1,0.5
2,control_self,41,control,self,0,1,5.806,1,0.5
2,control_self,42,control,self,0,1,1.734,1,0.5
2,control_self,43,control,self,0,0,0.829,1,0.5
2,control_self,44,control,self,1,0,1.049,1,0.5
2,control_self,45,control,self,0,1,1.301,1,0.5
2,control_self,46,control,self,1,0,1.622,1,0.5
2,control_self,47,control,self,0,1,1.365,1,0.5
2,control_self,48,control,self,0,1,0.554,1,0.5
2,control_self,49,control,self,0,1,1.104,1,0.5
2,control_self,50,control,self,0,0,1.452,1,0.5
2,control_stranger,1,control,stranger,0,0,5.542,2,0.5
2,control_stranger,2,control,stranger,0,0,2.19,2,0.5
2,control_stranger,3,control,stranger,1,1,2.432,2,0.5
2,control_stranger,4,control,stranger,1,1,1.33,2,0.5
2,control_stranger,5,control,stranger,0,0,0.893,2,0.5
2,control_stranger,6,control,stranger,0,0,0.897,2,0.5
2,control_stranger,7,control,stranger,1,1,0.851,2,0.5
2,control_stranger,8,control,stranger,1,1,1.062,2,0.5
2,control_stranger,9,control,stranger,1,1,3.853,2,0.5
2,control_stranger,10,control,stranger,0,0,1.57,2,0.5
2,control_stranger,11,control,stranger,1,0,0.833,2,0.5
2,control_stranger,12,control,stranger,0,0,0.483,2,0.5
2,control_stranger,13,control,stranger,0,0,0.985,2,0.5
2,control_stranger,14,control,stranger,0,0,0.712,2,0.5
2,control_stranger,15,control,stranger,1,1,0.593,2,0.5
2,control_stranger,16,control,stranger,1,1,0.991,2,0.5
2,control_stranger,17,control,stranger,1,0,0.722,2,0.5
2,control_stranger,18,control,stranger,0,0,0.584,2,0.5
2,control_stranger,19,control,stranger,1,1,0.634,2,0.5
2,control_stranger,20,control,stranger,1,1,2.833,2,0.5
2,control_stranger,21,control,stranger,0,0,0.693,2,0.5
2,control_stranger,22,control,stranger,1,1,1.311,2,0.5
2,control_stranger,23,control,stranger,1,0,0.655,2,0.5
2,control_stranger,24,control,stranger,0,1,1.098,2,0.5
2,control_stranger,25,control,stranger,1,0,0.974,2,0.5
2,control_stranger,26,control,stranger,1,0,0.431,2,0.5
2,control_stranger,27,control,stranger,0,1,0.726,2,0.5
2,control_stranger,28,control,stranger,0,0,0.455,2,0.5
2,control_stranger,29,control,stranger,1,0,1.19,2,0.5
2,control_stranger,30,control,stranger,1,1,0.783,2,0.5
2,control_stranger,31,control,stranger,1,0,1.172,2,0.5
2,control_stranger,32,control,stranger,0,1,1.209,2,0.5
2,control_stranger,33,control,stranger,0,1,0.785,2,0.5
2,control_stranger,34,control,stranger,0,1,0.792,2,0.5
2,control_stranger,35,control,stranger,0,0,0.487,2,0.5
2,control_stranger,36,control,stranger,1,0,1.042,2,0.5
2,control_stranger,37,control,stranger,0,1,1.182,2,0.5
2,control_stranger,38,control,stranger,0,1,0.843,2,0.5
2,control_stranger,39,control,stranger,0,1,0.882,2,0.5
2,control_stranger,40,control,stranger,0,1,0.658,2,0.5
2,control_stranger,41,control,stranger,1,0,0.714,2,0.5
2,control_stranger,42,control,stranger,0,1,0.68,2,0.5
2,control_stranger,43,control,stranger,0,0,1.116,2,0.5
2,control_stranger,44,control,stranger,1,1,0.848,2,0.5
2,control_stranger,45,control,stranger,1,0,1.25,2,0.5
