Subject Code,Trial Number,Epoch,Stimulus Position,Key Pressed,Reaction Time,Feedback Received,Chosen Image,Most Rewarded Stimulus in Epoch,Image Left,Image Right,Mood Slider Value,Video Type,Video File Name
leda_marziali_self_prl_NOSURP,1,1,Right,Right,1.1822781562805176,False,orange_old_27.png,Orange,white_old_32.png,orange_old_27.png,,not_surprising_videos,noeffect_6.mov
leda_marziali_self_prl_NOSURP,2,1,Right,Right,0.7055046558380127,True,orange_old_39.png,Orange,white_old_26.png,orange_old_39.png,,not_surprising_videos,
leda_marziali_self_prl_NOSURP,3,1,Left,Left,0.9396274089813232,False,orange_old_32.png,Orange,orange_old_32.png,white_old_31.png,,not_surprising_videos,
leda_marziali_self_prl_NOSURP,4,1,Right,Right,1.394515037536621,False,orange_old_26.png,Orange,white_old_40.png,orange_old_26.png,54,not_surprising_videos,
leda_marziali_self_prl_NOSURP,5,1,Right,Left,1.2226552963256836,False,white_old_36.png,Orange,white_old_36.png,orange_old_40.png,,not_surprising_videos,
leda_marziali_self_prl_NOSURP,6,1,Left,Left,2.040910243988037,True,orange_old_48.png,Orange,orange_old_48.png,white_old_44.png,,not_surprising_videos,
leda_marziali_self_prl_NOSURP,7,1,Right,Right,1.8018012046813965,True,orange_old_36.png,Orange,white_old_34.png,orange_old_36.png,,not_surprising_videos,
leda_marziali_self_prl_NOSURP,8,1,Right,Right,2.4027016162872314,True,orange_old_37.png,Orange,white_old_46.png,orange_old_37.png,55,not_surprising_videos,
leda_marziali_self_prl_NOSURP,9,1,Left,Right,0.7730238437652588,False,white_old_39.png,Orange,orange_old_34.png,white_old_39.png,,not_surprising_videos,
leda_marziali_self_prl_NOSURP,10,1,Right,Left,3.579831123352051,False,white_old_30.png,Orange,white_old_30.png,orange_old_50.png,,not_surprising_videos,
leda_marziali_self_prl_NOSURP,11,1,Right,Right,1.9831814765930176,True,orange_old_31.png,Orange,white_old_35.png,orange_old_31.png,,not_surprising_videos,noeffect_10.mov
leda_marziali_self_prl_NOSURP,12,1,Left,Left,1.977097511291504,True,orange_old_35.png,Orange,orange_old_35.png,white_old_41.png,55,not_surprising_videos,
leda_marziali_self_prl_NOSURP,13,1,Left,Right,0.43445324897766113,True,white_old_37.png,Orange,orange_old_33.png,white_old_37.png,,not_surprising_videos,
leda_marziali_self_prl_NOSURP,14,1,Left,Left,0.46745777130126953,True,orange_old_29.png,Orange,orange_old_29.png,white_old_27.png,,not_surprising_videos,
leda_marziali_self_prl_NOSURP,15,1,Right,Right,1.5113465785980225,False,orange_old_41.png,Orange,white_old_48.png,orange_old_41.png,,not_surprising_videos,
leda_marziali_self_prl_NOSURP,16,1,Left,Left,1.923133134841919,True,orange_old_42.png,Orange,orange_old_42.png,white_old_43.png,56,not_surprising_videos,
leda_marziali_self_prl_NOSURP,17,1,Right,Right,0.48561692237854004,True,orange_old_43.png,Orange,white_old_29.png,orange_old_43.png,,not_surprising_videos,
leda_marziali_self_prl_NOSURP,18,1,Right,Right,0.5263171195983887,True,orange_old_49.png,Orange,white_old_33.png,orange_old_49.png,,not_surprising_videos,
leda_marziali_self_prl_NOSURP,19,1,Right,Left,0.5380356311798096,False,white_old_42.png,Orange,white_old_42.png,orange_old_45.png,,not_surprising_videos,
leda_marziali_self_prl_NOSURP,20,1,Right,Left,0.8921499252319336,False,white_old_38.png,Orange,white_old_38.png,orange_old_47.png,56,not_surprising_videos,
leda_marziali_self_prl_NOSURP,21,1,Right,Left,2.8363382816314697,False,white_old_47.png,Orange,white_old_47.png,orange_old_30.png,,not_surprising_videos,noeffect_9.mov
leda_marziali_self_prl_NOSURP,22,1,Right,Right,3.5282442569732666,False,orange_old_46.png,Orange,white_old_49.png,orange_old_46.png,,not_surprising_videos,
leda_marziali_self_prl_NOSURP,23,1,Right,Right,1.217116117477417,False,orange_old_28.png,Orange,white_old_50.png,orange_old_28.png,,not_surprising_videos,
leda_marziali_self_prl_NOSURP,24,1,Right,Left,0.8563752174377441,False,white_old_45.png,Orange,white_old_45.png,orange_old_38.png,17,not_surprising_videos,
leda_marziali_self_prl_NOSURP,25,1,Right,Left,2.827702522277832,False,white_old_28.png,Orange,white_old_28.png,orange_old_44.png,,not_surprising_videos,
leda_marziali_self_prl_NOSURP,26,2,Right,Right,2.5865368843078613,False,orange_old_35.png,White,white_old_32.png,orange_old_35.png,,not_surprising_videos,noeffect_7.mov
leda_marziali_self_prl_NOSURP,27,2,Right,Left,3.9401373863220215,True,white_old_49.png,White,white_old_49.png,orange_old_26.png,,not_surprising_videos,
leda_marziali_self_prl_NOSURP,28,2,Right,Left,1.4847357273101807,False,white_old_39.png,White,white_old_39.png,orange_old_30.png,43,not_surprising_videos,
leda_marziali_self_prl_NOSURP,29,2,Left,Right,0.7135727405548096,False,white_old_42.png,White,orange_old_45.png,white_old_42.png,,not_surprising_videos,
leda_marziali_self_prl_NOSURP,30,2,Right,Right,0.6868407726287842,True,orange_old_43.png,White,white_old_37.png,orange_old_43.png,,not_surprising_videos,
leda_marziali_self_prl_NOSURP,31,2,Left,Left,0.6533629894256592,True,orange_old_38.png,White,orange_old_38.png,white_old_38.png,,not_surprising_videos,
leda_marziali_self_prl_NOSURP,32,2,Left,Left,2.865952968597412,False,orange_old_36.png,White,orange_old_36.png,white_old_44.png,46,not_surprising_videos,
leda_marziali_self_prl_NOSURP,33,2,Left,Left,1.3068034648895264,False,orange_old_27.png,White,orange_old_27.png,white_old_35.png,,not_surprising_videos,
leda_marziali_self_prl_NOSURP,34,2,Left,Left,1.918987512588501,False,orange_old_31.png,White,orange_old_31.png,white_old_28.png,,not_surprising_videos,
leda_marziali_self_prl_NOSURP,35,2,Right,Left,0.7085740566253662,True,white_old_50.png,White,white_old_50.png,orange_old_48.png,,not_surprising_videos,
leda_marziali_self_prl_NOSURP,36,2,Right,Right,2.297487735748291,False,orange_old_33.png,White,white_old_36.png,orange_old_33.png,48,not_surprising_videos,noeffect_5.mov
leda_marziali_self_prl_NOSURP,37,2,Left,Left,2.0616049766540527,False,orange_old_37.png,White,orange_old_37.png,white_old_29.png,,not_surprising_videos,
leda_marziali_self_prl_NOSURP,38,2,Right,Left,1.212855577468872,True,white_old_40.png,White,white_old_40.png,orange_old_39.png,,not_surprising_videos,
