Subject Code,Trial Number,Epoch,Stimulus Position,Key Pressed,Reaction Time,Feedback Received,Chosen Image,Most Rewarded Stimulus in Epoch,Image Left,Image Right,Mood Slider Value,Video Type,Video File Name
mirko_depetrillo_self_prl_SURP,1,1,Left,Right,1.8292715549468994,False,white_old_12.png,Orange,orange_old_8.png,white_old_12.png,,surprise_videos,effect_4.mov
mirko_depetrillo_self_prl_SURP,2,1,Right,Right,0.9019651412963867,True,orange_old_2.png,Orange,white_old_8.png,orange_old_2.png,,surprise_videos,
mirko_depetrillo_self_prl_SURP,3,1,Right,Right,0.7261278629302979,True,orange_old_12.png,Orange,white_old_3.png,orange_old_12.png,,surprise_videos,
mirko_depetrillo_self_prl_SURP,4,1,Right,Right,0.4140505790710449,True,orange_old_10.png,Orange,white_old_2.png,orange_old_10.png,92,surprise_videos,
mirko_depetrillo_self_prl_SURP,5,1,Right,Right,0.6129655838012695,True,orange_old_17.png,Orange,white_old_22.png,orange_old_17.png,,surprise_videos,
mirko_depetrillo_self_prl_SURP,6,1,Left,Left,0.5049993991851807,True,orange_old_13.png,Orange,orange_old_13.png,white_old_11.png,,surprise_videos,
mirko_depetrillo_self_prl_SURP,7,1,Left,Left,0.5090651512145996,True,orange_old_15.png,Orange,orange_old_15.png,white_old_21.png,,surprise_videos,
mirko_depetrillo_self_prl_SURP,8,1,Right,Left,2.6419949531555176,False,white_old_17.png,Orange,white_old_17.png,orange_old_25.png,71,surprise_videos,
mirko_depetrillo_self_prl_SURP,9,1,Left,Right,1.5429632663726807,False,white_old_4.png,Orange,orange_old_14.png,white_old_4.png,,surprise_videos,
mirko_depetrillo_self_prl_SURP,10,1,Right,Right,1.0810694694519043,False,orange_old_23.png,Orange,white_old_10.png,orange_old_23.png,,surprise_videos,
mirko_depetrillo_self_prl_SURP,11,1,Left,Left,1.347989797592163,True,orange_old_1.png,Orange,orange_old_1.png,white_old_14.png,,surprise_videos,effect_8.mov
mirko_depetrillo_self_prl_SURP,12,1,Left,Right,1.679290533065796,False,white_old_23.png,Orange,orange_old_9.png,white_old_23.png,90,surprise_videos,
mirko_depetrillo_self_prl_SURP,13,1,Left,Right,1.5039618015289307,True,white_old_19.png,Orange,orange_old_22.png,white_old_19.png,,surprise_videos,
mirko_depetrillo_self_prl_SURP,14,1,Left,Right,0.8480057716369629,False,white_old_7.png,Orange,orange_old_18.png,white_old_7.png,,surprise_videos,
